Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink15:10:56.303000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
15:12:30.913000 Conn: 0001 Handle: 0003  Values: 9600000000000000000000000000000000002c00
15:12:31.014000 Conn: 0000 Handle: 000315:12:31.035000   Values: SCAN CMD 
9600000000000000000000000000000000002c00
15:12:31.911000 Conn: 0001 Handle: 0001  Values: 9800000000000000000000000000000000005900
15:12:32.001000 Conn: 0000 Handle: 0005  Values: 9800000000000000000000000000000000000a00
15:12:32.910000 Conn: 0001 Handle: 0001  Values: 9c00000000000000000000000000000000005b00
15:12:33.009000 Conn: 0000 Handle: 0001  Values: 9c00000000000000000000000000000000005b00
15:12:33.907000 Conn: 0001 Handle: 0002  Values: 9c00000000000000000000000000000000001300
15:12:34.001000 Conn: 0000 Handle: 0002  Values: 9c00000000000000000000000000000000001300
15:12:34.912000 Conn: 0001 Handle: 0001  Values: 9f00000000000000000000000000000000005d00
15:12:35.005000 Conn: 0000 Handle: 0001  Values: 9f00000000000000000000000000000000005d00
15:12:35.907000 Conn: 0001 Handle: 0003  Values: 9f00000000000000000000000000000000002f00
15:12:36.009000 Conn: 0000 Handle: 0003  Values: 9f00000000000000000000000000000000002f00
15:12:36.909000 Conn: 0001 Handle: 0001  Values: a200000000000000000000000000000000005f00
15:12:37.010000 Conn: 0000 Handle: 0001  Values: a200000000000000000000000000000000005f00
15:12:37.909000 Conn: 0001 Handle: 0003  Values: a200000000000000000000000000000000003000
15:12:38.001000 Conn: 0000 Handle: 0003  Values: a200000000000000000000000000000000003000
15:12:38.914000 Conn: 0001 Handle: 0001  Values: a600000000000000000000000000000000006100
15:12:39.014000 Conn: 0000 Handle: 0001  Values: a700000000000000000000000000000000006200
15:12:39.908000 Conn: 0001 Handle: 0002  Values: a600000000000000000000000000000000001400
15:12:40.009000 Conn: 0000 Handle: 0002  Values: a700000000000000000000000000000000001400
15:12:40.305000  SCAN CMD
15:12:40.911000 Conn: 0001 Handle: 0001  Values: a900000000000000000000000000000000006300
15:12:41.006000 Conn: 0000 Handle: 0003  Values: a700000000000000000000000000000000003100
15:12:41.912000 Conn: 0001 Handle: 0003  Values: a900000000000000000000000000000000003200
15:12:42.013000 Conn: 0000 Handle: 0005  Values: a900000000000000000000000000000000000a00
15:12:42.906000 Conn: 0001 Handle: 0001  Values: aa00000000000000000000000000000000006400
15:12:43.003000 Conn: 0000 Handle: 0001  Values: aa00000000000000000000000000000000006400
15:12:43.913000 Conn: 0001 Handle: 0001  Values: ae00000000000000000000000000000000006600
15:12:44.007000 Conn: 0000 Handle: 0001  Values: ae00000000000000000000000000000000006600
15:12:44.908000 Conn: 0001 Handle: 0002  Values: ae00000000000000000000000000000000001500
15:12:45.007000 Conn: 0000 Handle: 0002  Values: ae00000000000000000000000000000000001500
15:12:45.907000 Conn: 0001 Handle: 0001  Values: b100000000000000000000000000000000006800
15:12:46.007000 Conn: 0000 Handle: 0001  Values: b100000000000000000000000000000000006800
15:12:46.909000 Conn: 0001 Handle: 0003  Values: b100000000000000000000000000000000003400
15:12:47.004000 Conn: 0000 Handle: 0003  Values: b100000000000000000000000000000000003400
15:12:47.910000 Conn: 0001 Handle: 0001  Values: b500000000000000000000000000000000006a00
15:12:48.008000 Conn: 0000 Handle: 0005  Values: b700000000000000000000000000000000000a00
15:12:48.912000 Conn: 0001 Handle: 0002  Values: b500000000000000000000000000000000001600
15:12:49.001000 Conn: 0000 Handle: 0001  Values: b700000000000000000000000000000000006b00
15:12:49.580000  SCAN CMD
15:12:49.914000 Conn: 0001 Handle: 0001  Values: b800000000000000000000000000000000006c00
15:12:50.001000 Conn: 0000 Handle: 0002  Values: b700000000000000000000000000000000001600
15:12:50.906000 Conn: 0001 Handle: 0003  Values: b800000000000000000000000000000000003600
15:12:51.008000 Conn: 0000 Handle: 0001  Values: b800000000000000000000000000000000006c00
15:12:51.913000 Conn: 0001 Handle: 0001  Values: bb00000000000000000000000000000000006e00
15:12:52.012000 Conn: 0000 Handle: 0001  Values: bb00000000000000000000000000000000006e00
15:12:52.915000 Conn: 0001 Handle: 0003  Values: bb00000000000000000000000000000000003700
15:12:53.010000 Conn: 0000 Handle: 0003  Values: bb00000000000000000000000000000000003700
15:12:53.909000 Conn: 0001 Handle: 0001  Values: be00000000000000000000000000000000006f00
15:12:54.009000 Conn: 0000 Handle: 0001  Values: be00000000000000000000000000000000006f00
15:12:54.915000 Conn: 0001 Handle: 0001  Values: c100000000000000000000000000000000007100
15:12:55.003000 Conn: 0000 Handle: 0001  Values: c100000000000000000000000000000000007100
15:12:55.907000 Conn: 0001 Handle: 0003  Values: c100000000000000000000000000000000003900
15:12:56.011000 Conn: 0000 Handle: 0003  Values: c100000000000000000000000000000000003900
15:12:56.915000 Conn: 0001 Handle: 0001  Values: c400000000000000000000000000000000007300
15:12:57.011000 Conn: 0000 Handle: 0001  Values: c600000000000000000000000000000000007400
15:12:57.913000 Conn: 0001 Handle: 0003  Values: c400000000000000000000000000000000003a00
15:12:58.001000 Conn: 0000 Handle: 0002  Values: c600000000000000000000000000000000001800
15:12:58.86400015:12:58.909000   SCAN CMDConn:
 0001 Handle: 0001  Values: c800000000000000000000000000000000007500
15:12:59.007000 Conn: 0000 Handle: 0003  Values: c600000000000000000000000000000000003a00
15:12:59.914000 Conn: 0001 Handle: 0002  Values: c800000000000000000000000000000000001800
15:13:00.014000 Conn: 0000 Handle: 0005  Values: c800000000000000000000000000000000000a00
15:13:00.912000 Conn: 0001 Handle: 0001  Values: cb00000000000000000000000000000000007700
15:13:01.005000 Conn: 0000 Handle: 0001  Values: cb00000000000000000000000000000000007700
15:13:01.907000 Conn: 0001 Handle: 0003  Values: cb00000000000000000000000000000000003c00
15:13:02.006000 Conn: 0000 Handle: 0003  Values: cb00000000000000000000000000000000003c00
15:13:02.907000 Conn: 0001 Handle: 0001  Values: cf00000000000000000000000000000000007900
15:13:03.012000 Conn: 0000 Handle: 0001  Values: cf00000000000000000000000000000000007900
15:13:03.913000 Conn: 0001 Handle: 0002  Values: cf00000000000000000000000000000000001900
15:13:04.010000 Conn: 0000 Handle: 0002  Values: cf00000000000000000000000000000000001900
15:13:04.909000 Conn: 0001 Handle: 0001  Values: d500000000000000000000000000000000007d00
15:13:05.010000 Conn: 0000 Handle: 0001  Values: d200000000000000000000000000000000007b00
15:13:05.913000 Conn: 0001 Handle: 0003  Values: d500000000000000000000000000000000003f00
15:13:06.003000 Conn: 0000 Handle: 0003  Values: d200000000000000000000000000000000003e00
