Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink17:03:23.560000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
17:04:42.140000 Conn: 0000 Handle: 0001  Values: 7e00000000000000000000000000000000004a00
17:04:42.839000 Conn: 0001 Handle: 0001  Values: 7e00000000000000000000000000000000004a00
17:04:43.139000 Conn: 0000 Handle: 0003  Values: 7e00000000000000000000000000000000002500
17:04:43.846000 Conn: 0001 Handle: 0003  Values: 7e00000000000000000000000000000000002500
17:04:44.136000 Conn: 0000 Handle: 0005  Values: 8000000000000000000000000000000000000a00
17:04:44.840000 Conn: 0001 Handle: 0001  Values: 8200000000000000000000000000000000004c00
17:04:45.134000 Conn: 0000 Handle: 0001  Values: 8000000000000000000000000000000000004b00
17:04:45.848000 Conn: 0001 Handle: 0002  Values: 8200000000000000000000000000000000001000
17:04:45.894000  SCAN CMD
17:04:46.134000 Conn: 0000 Handle: 0001  Values: 8400000000000000000000000000000000004d00
17:04:46.846000 Conn: 0001 Handle: 0001  Values: 8500000000000000000000000000000000004e00
17:04:47.135000 Conn: 0000 Handle: 0002  Values: 8400000000000000000000000000000000001000
17:04:47.839000 Conn: 0001 Handle: 0003  Values: 8500000000000000000000000000000000002700
17:04:48.135000 Conn: 0000 Handle: 0001  Values: 8700000000000000000000000000000000004f00
17:04:48.843000 Conn: 0001 Handle: 0001  Values: 8800000000000000000000000000000000005000
17:04:49.137000 Conn: 0000 Handle: 0003  Values: 8700000000000000000000000000000000002800
17:04:49.845000 Conn: 0001 Handle: 0003  Values: 8800000000000000000000000000000000002800
17:04:50.139000 Conn: 0000 Handle: 0001  Values: 8b00000000000000000000000000000000005100
17:04:50.839000 Conn: 0001 Handle: 0001  Values: 8c00000000000000000000000000000000005200
17:04:51.143000 Conn: 0000 Handle: 0002  Values: 8b00000000000000000000000000000000001100
17:04:51.847000 Conn: 0001 Handle: 0002  Values: 8c00000000000000000000000000000000001100
