Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink19:47:39.734000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
19:48:48.272000 Conn: 0001 Handle: 0001  Values: 7600000000000000000000000000000000004500
19:48:48.465000 Conn: 0000 Handle: 0001  Values: 7600000000000000000000000000000000004500
19:48:48.572000 Conn: 0001 Handle: 0003  Values: 7600000000000000000000000000000000002300
19:48:48.769000 Conn: 0000 Handle: 0003  Values: 7600000000000000000000000000000000002300
19:48:49.378000  SCAN CMD
19:48:49.470000 Conn: 0001 Handle: 0001  Values: 7700000000000000000000000000000000004600
19:48:49.667000 Conn: 0000 Handle: 0001  Values: 7700000000000000000000000000000000004600
19:48:50.371000 Conn: 0001 Handle: 0001  Values: 7a00000000000000000000000000000000004700
19:48:50.668000 Conn: 0001 Handle: 0002  Values: 7a00000000000000000000000000000000000f00
19:48:50.870000 Conn: 0000 Handle: 0001  Values: 7a00000000000000000000000000000000004700
19:48:50.964000 Conn: 0001 Handle: 0003  Values: 7a00000000000000000000000000000000002400
19:48:51.162000 Conn: 0000 Handle: 0002  Values: 7a00000000000000000000000000000000000f00
19:48:51.472000 Conn: 0000 Handle: 0003  Values: 7a00000000000000000000000000000000002400
19:48:51.568000 Conn: 0001 Handle: 0001  Values: 7b00000000000000000000000000000000004800
19:48:51.763000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:52.059000 Conn: 0000 Handle: 0001  Values: 7b00000000000000000000000000000000004800
19:48:52.361000 Conn: 0000 Handle: 0003  Values: 7c00000000000000000000000000000000002500
19:48:52.672000  SCAN CMD
19:48:52.775000 Conn: 0001 Handle: 0001  Values: 7d00000000000000000000000000000000004900
19:48:52.965000 Conn: 0000 Handle: 0001  Values: 7d00000000000000000000000000000000004900
19:48:53.072000 Conn: 0001 Handle: 0003  Values: 7d00000000000000000000000000000000002500
19:48:53.866000 Conn: 0000 Handle: 0001  Values: 7e00000000000000000000000000000000004a00
19:48:53.966000 Conn: 0001 Handle: 0001  Values: 7e00000000000000000000000000000000004a00
19:48:54.162000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:54.468000 Conn: 0000 Handle: 0001  Values: 8000000000000000000000000000000000004b00
19:48:54.569000 Conn: 0001 Handle: 0001  Values: 8000000000000000000000000000000000004b00
